"","Transcript","IU_number","start_time","end_time","speaker","IU","Anonymity","Linguistic_info","Quotatives","Me_possessive","There's","Social_info","ordered"
"564","SydS_GOF_174_Cassia",34,"00:04:53.989","00:04:54.335","INT: Erica","yeah].","","","","","","",34
"3832","SydS_GOF_174_Cassia",35,"00:04:55.530","00:04:56.140","PNT: Cassia","it was aw[2ful.","","","","","","",35
"565","SydS_GOF_174_Cassia",36,"00:04:55.975","00:04:56.305","INT: Erica","[2yeah.","","","","","","",36
"3833","SydS_GOF_174_Cassia",37,"00:04:56.140","00:04:57.205","PNT: Cassia","I used to get car sick2].","","","","","","",37
"566","SydS_GOF_174_Cassia",38,"00:04:56.305","00:04:57.205","INT: Erica","do you remember it2]? ","","","","","","",38
"3834","SydS_GOF_174_Cassia",39,"00:04:57.205","00:04:57.930","PNT: Cassia","oh ye[s.","","","","","","",39
"567","SydS_GOF_174_Cassia",40,"00:04:57.855","00:04:58.280","INT: Erica","[yeah].","","","","","","",40
"3835","SydS_GOF_174_Cassia",41,"00:04:57.930","00:04:59.300","PNT: Cassia","I used to] get car sick.","","","","","","",41
"3836","SydS_GOF_174_Cassia",42,"00:04:59.300","00:05:00.695","PNT: Cassia",".. [2was awful2]. ","","","","","","",42
"568","SydS_GOF_174_Cassia",43,"00:04:59.540","00:05:00.090","INT: Erica","[2oh,","","","","","","",43
"569","SydS_GOF_174_Cassia",44,"00:05:00.090","00:05:00.695","INT: Erica","yu-2],","","","","","","",44
"570","SydS_GOF_174_Cassia",45,"00:05:00.695","00:05:01.330","INT: Erica",".. y[eah.","","","","","","",45
"3837","SydS_GOF_174_Cassia",46,"00:05:00.895","00:05:01.450","PNT: Cassia","[yeah].","","","","","","",46
"571","SydS_GOF_174_Cassia",47,"00:05:01.330","00:05:02.150","INT: Erica","well] who would teach --","","","","","","",47
"572","SydS_GOF_174_Cassia",48,"00:05:02.150","00:05:03.395","INT: Erica","who would teach at Greek school.","","","","","","",48
"3838","SydS_GOF_174_Cassia",49,"00:05:03.395","00:05:04.123","PNT: Cassia","... sorr[y]?","","","","","","",49
"573","SydS_GOF_174_Cassia",50,"00:05:04.060","00:05:05.366","INT: Erica","[w-] who was the teacher.","","","","","","",50
"3839","SydS_GOF_174_Cassia",51,"00:05:05.366","00:05:05.956","PNT: Cassia","oh [2just a2] --","","","","","","",51
"574","SydS_GOF_174_Cassia",52,"00:05:05.630","00:05:05.956","INT: Erica","[2was it2] --","","","","","","",52
"3840","SydS_GOF_174_Cassia",53,"00:05:05.956","00:05:07.870","PNT: Cassia","it was a Greek one that stepped off the b[oat.","","","","","","teacher at Greek school newly migrated to Australia, couldn't speak much English - ""stepped off the boat""",53
"575","SydS_GOF_174_Cassia",54,"00:05:07.705","00:05:08.182","INT: Erica","[oh.","","","","","","",54
"3841","SydS_GOF_174_Cassia",55,"00:05:07.870","00:05:08.362","PNT: Cassia","@@","","","","","","",55
"576","SydS_GOF_174_Cassia",56,"00:05:08.182","00:05:08.960","INT: Erica","@oh ye]ah,","","","","","","",56
"3842","SydS_GOF_174_Cassia",57,"00:05:08.362","00:05:08.840","PNT: Cassia","<@ and couldn't @>] --","","","","","","",57
"3843","SydS_GOF_174_Cassia",58,"00:05:08.960","00:05:09.985","PNT: Cassia","[2couldn't unde2]rst[3and i- --","","","","","","",58
"577","SydS_GOF_174_Cassia",59,"00:05:08.960","00:05:09.405","INT: Erica","[2no-one --","","","","","","",59
"578","SydS_GOF_174_Cassia",60,"00:05:09.700","00:05:10.635","INT: Erica","[3oh gosh3]. ","","","","","","",60
"3844","SydS_GOF_174_Cassia",61,"00:05:09.985","00:05:11.315","PNT: Cassia","much English3] at all,","","","","","","",61
"3845","SydS_GOF_174_Cassia",62,"00:05:11.315","00:05:11.785","PNT: Cassia",".. yeah,","","","","","","",62
"3846","SydS_GOF_174_Cassia",63,"00:05:11.785","00:05:12.960","PNT: Cassia","[had a s]tring of teachers,","","","","","","",63
"579","SydS_GOF_174_Cassia",64,"00:05:11.785","00:05:12.105","INT: Erica","[yeah].","","","","","","",64
"3847","SydS_GOF_174_Cassia",65,"00:05:12.960","00:05:13.475","PNT: Cassia","and they were --","","","","","","",65
"3848","SydS_GOF_174_Cassia",66,"00:05:13.475","00:05:15.485","PNT: Cassia","... Teachers were cruel back then,","","","","","","Teachers were cruel - would smack you",66
"3849","SydS_GOF_174_Cassia",67,"00:05:15.485","00:05:16.955","PNT: Cassia","they used to smack you [and],","","","","","","",67
"580","SydS_GOF_174_Cassia",68,"00:05:16.665","00:05:17.125","INT: Erica","[ye]ah,","","","","","","",68
"3850","SydS_GOF_174_Cassia",69,"00:05:17.125","00:05:18.320","PNT: Cassia","[2h2]it you and,","","","","","","",69
"581","SydS_GOF_174_Cassia",70,"00:05:17.125","00:05:17.470","INT: Erica","[2I2] -- ","","","","","","",70
"3851","SydS_GOF_174_Cassia",71,"00:05:18.320","00:05:18.960","PNT: Cassia",".. yeah.","","","","","","",71
"582","SydS_GOF_174_Cassia",72,"00:05:18.960","00:05:20.025","INT: Erica","y- [o=]h.","","","","","","",72
"3852","SydS_GOF_174_Cassia",73,"00:05:19.115","00:05:19.765","PNT: Cassia","[it was just] --","","","","","","",73
"3853","SydS_GOF_174_Cassia",74,"00:05:20.025","00:05:20.666","PNT: Cassia","... it- % --","","","","","","",74
"3854","SydS_GOF_174_Cassia",75,"00:05:20.666","00:05:22.125","PNT: Cassia","it was just part of the --","","","","","","",75
"583","SydS_GOF_174_Cassia",76,"00:05:22.125","00:05:23.330","INT: Erica","... exper[i- --","","","","","","",76
"3855","SydS_GOF_174_Cassia",77,"00:05:23.250","00:05:23.940","PNT: Cassia","[th- yeah],","","","","","","",77
"584","SydS_GOF_174_Cassia",78,"00:05:23.330","00:05:24.015","INT: Erica","yea]h.","","","","","","",78
"3856","SydS_GOF_174_Cassia",79,"00:05:24.015","00:05:24.635","PNT: Cassia","the um,","","","","","","",79
"3857","SydS_GOF_174_Cassia",80,"00:05:24.635","00:05:25.300","PNT: Cassia","[profession].","","","","","","",80
"585","SydS_GOF_174_Cassia",81,"00:05:24.635","00:05:25.408","INT: Erica","[the learni]ng.","","","","","","",81
"586","SydS_GOF_174_Cassia",82,"00:05:25.408","00:05:25.817","INT: Erica","y[2eah,","","","","","","",82
"3858","SydS_GOF_174_Cassia",83,"00:05:25.505","00:05:26.405","PNT: Cassia","[2the profession2].","","","","","","",83
"587","SydS_GOF_174_Cassia",84,"00:05:25.817","00:05:26.405","INT: Erica","exactly2]. ","","","","","","",84
"3859","SydS_GOF_174_Cassia",85,"00:05:26.405","00:05:27.070","PNT: Cassia",".. they did that.","","","","","","",85
"3860","SydS_GOF_174_Cassia",86,"00:05:27.070","00:05:28.010","PNT: Cassia","they punished you.","","","","","","",86
"588","SydS_GOF_174_Cassia",87,"00:05:28.010","00:05:29.385","INT: Erica","... what were you learning,","","","","","","",87
"589","SydS_GOF_174_Cassia",88,"00:05:29.385","00:05:30.703","INT: Erica","were you doing [reading,","","","","","","",88
"3861","SydS_GOF_174_Cassia",89,"00:05:30.075","00:05:31.094","PNT: Cassia","[um everything,","","","","","","",89
"590","SydS_GOF_174_Cassia",90,"00:05:30.703","00:05:31.590","INT: Erica",".. and writing]?","","","","","","",90
"3862","SydS_GOF_174_Cassia",91,"00:05:31.094","00:05:32.515","PNT: Cassia","we were learn]ing writing,","","","","","","",91
"3863","SydS_GOF_174_Cassia",92,"00:05:32.515","00:05:33.245","PNT: Cassia","reading,","","","","","","",92
"3864","SydS_GOF_174_Cassia",93,"00:05:33.245","00:05:33.795","PNT: Cassia",".. um,","","","","","","",93
"3865","SydS_GOF_174_Cassia",94,"00:05:33.795","00:05:34.870","PNT: Cassia",".. dancing,","","","","","","",94
"3866","SydS_GOF_174_Cassia",95,"00:05:34.870","00:05:36.385","PNT: Cassia","... [Greek dancing,","","","","","","learnt reading, writing, Greek dancing, Geography, History at Greek school",95
"591","SydS_GOF_174_Cassia",96,"00:05:35.195","00:05:35.899","INT: Erica","[o=h,","","","","","","",96
"592","SydS_GOF_174_Cassia",97,"00:05:35.899","00:05:36.423","INT: Erica","wow].","","","","","","",97
"3867","SydS_GOF_174_Cassia",98,"00:05:36.385","00:05:36.835","PNT: Cassia","u]m,","","","","","","",98
"3868","SydS_GOF_174_Cassia",99,"00:05:36.835","00:05:37.710","PNT: Cassia",".. Geography,","","","","","","",99
"3869","SydS_GOF_174_Cassia",100,"00:05:37.710","00:05:38.470","PNT: Cassia","and History.","","","","","","",100
"593","SydS_GOF_174_Cassia",101,"00:05:38.470","00:05:39.060","INT: Erica",".. yeah --","","","","","","",101
"3870","SydS_GOF_174_Cassia",102,"00:05:39.060","00:05:39.688","PNT: Cassia",".. y[eah].","","","","","","",102
"594","SydS_GOF_174_Cassia",103,"00:05:39.255","00:05:39.688","INT: Erica","[okay].","","","","","","",103
"595","SydS_GOF_174_Cassia",104,"00:05:39.688","00:05:40.020","INT: Erica",".. and,","","","","","","",104
"596","SydS_GOF_174_Cassia",105,"00:05:40.020","00:05:40.331","INT: Erica",".. sh- --","","","","","","",105
"597","SydS_GOF_174_Cassia",106,"00:05:40.331","00:05:41.605","INT: Erica",".. they would speak to you,","","","","","","",106
"598","SydS_GOF_174_Cassia",107,"00:05:41.605","00:05:42.430","INT: Erica",".. in Gre[ek]? ","","","","","","",107
"3871","SydS_GOF_174_Cassia",108,"00:05:42.339","00:05:43.415","PNT: Cassia","[o]h yeah the whole ti[2me.","","","","","","",108
"599","SydS_GOF_174_Cassia",109,"00:05:43.260","00:05:44.000","INT: Erica","[2the whole time.","","","","","","",109
"3872","SydS_GOF_174_Cassia",110,"00:05:43.415","00:05:44.655","PNT: Cassia","there was never any English2].","","","","","","",110
"600","SydS_GOF_174_Cassia",111,"00:05:44.000","00:05:44.570","INT: Erica","no --","","","","","","",111
"601","SydS_GOF_174_Cassia",112,"00:05:44.570","00:05:45.590","INT: Erica","n2]o Engli[sh at all].","","","","","","",112
"3873","SydS_GOF_174_Cassia",113,"00:05:45.000","00:05:46.355","PNT: Cassia","[no .. Eng]lish at all.","","","","","","",113
"602","SydS_GOF_174_Cassia",114,"00:05:46.355","00:05:47.960","INT: Erica","... do you think though that,","","","","","","",114
"603","SydS_GOF_174_Cassia",115,"00:05:47.960","00:05:51.240","INT: Erica","... in hindsight now you were so glad .. to have --","","","","","","",115
"604","SydS_GOF_174_Cassia",116,"00:05:51.240","00:05:53.109","INT: Erica","... gone to Greek school though?","","","","","","",116
"3874","SydS_GOF_174_Cassia",117,"00:05:53.109","00:05:53.720","PNT: Cassia",".. oh y[es,","","","","","","",117
"605","SydS_GOF_174_Cassia",118,"00:05:53.600","00:05:54.515","INT: Erica","[now that you know --","","","","","","",118
"3875","SydS_GOF_174_Cassia",119,"00:05:53.720","00:05:54.995","PNT: Cassia","I read and write now].","","","","","","can read and write Greek now, and is grateful for that",119
"606","SydS_GOF_174_Cassia",120,"00:05:54.515","00:05:55.570","INT: Erica","you can r]ead a[2nd write2].","","","","","","",120
"3876","SydS_GOF_174_Cassia",121,"00:05:55.120","00:05:55.570","PNT: Cassia","[2I can2] --","","","","","","",121
"3877","SydS_GOF_174_Cassia",122,"00:05:55.570","00:05:56.055","PNT: Cassia","yes,","","","","","","",122
"3878","SydS_GOF_174_Cassia",123,"00:05:56.055","00:05:56.600","PNT: Cassia","it['s pretty --","","","","","","",123
"607","SydS_GOF_174_Cassia",124,"00:05:56.160","00:05:57.761","INT: Erica","[cause it's such a good skill],","","","","","","",124
"3879","SydS_GOF_174_Cassia",125,"00:05:56.600","00:05:57.761","PNT: Cassia","X it's pretty good].","","","","","","",125
"3880","SydS_GOF_174_Cassia",126,"00:05:57.761","00:05:58.752","PNT: Cassia",".. it is a good skill,","","","","","","",126
"3881","SydS_GOF_174_Cassia",127,"00:05:58.752","00:06:00.005","PNT: Cassia","I [apprec]iate it now,","","","","","","",127
"608","SydS_GOF_174_Cassia",128,"00:05:58.840","00:05:59.210","INT: Erica","[yeah].","","","","","","",128
"3882","SydS_GOF_174_Cassia",129,"00:06:00.005","00:06:01.600","PNT: Cassia","... but I felt so,","","","","","","",129
"3883","SydS_GOF_174_Cassia",130,"00:06:01.600","00:06:02.170","PNT: Cassia",".. um,","","","","","","",130
"3884","SydS_GOF_174_Cassia",131,"00:06:02.170","00:06:03.915","PNT: Cassia","... like I was missing out.","","","","","","Felt like she was missing out at the time compared to peers because of her strict parents, things she couldn't do",131
"609","SydS_GOF_174_Cassia",132,"00:06:03.915","00:06:04.603","INT: Erica","yeah.","","","","","","",132
"3885","SydS_GOF_174_Cassia",133,"00:06:04.603","00:06:05.600","PNT: Cassia","[at the time] --","","","","","","",133
"610","SydS_GOF_174_Cassia",134,"00:06:04.603","00:06:06.790","INT: Erica","[cause what was your frien]dship group like at --","","","","","","",134
"611","SydS_GOF_174_Cassia",135,"00:06:06.790","00:06:07.445","INT: Erica","... um,","","","","","","",135
"612","SydS_GOF_174_Cassia",136,"00:06:07.445","00:06:07.810","INT: Erica","school,","","","","","","",136
"613","SydS_GOF_174_Cassia",137,"00:06:07.810","00:06:09.200","INT: Erica","were they all just Anglo,","","","","","","",137
"3886","SydS_GOF_174_Cassia",138,"00:06:09.200","00:06:09.860","PNT: Cassia","[oh yes,","","","","","","",138
"614","SydS_GOF_174_Cassia",139,"00:06:09.200","00:06:10.240","INT: Erica","[<X k- X> no Greeks,","","","","","","",139
"3887","SydS_GOF_174_Cassia",140,"00:06:09.860","00:06:10.345","PNT: Cassia","yes,","","","","","","",140
"615","SydS_GOF_174_Cassia",141,"00:06:10.240","00:06:11.530","INT: Erica","no Europeans],","","","","","","",141
"3888","SydS_GOF_174_Cassia",142,"00:06:10.345","00:06:10.755","PNT: Cassia","yes,","","","","","","",142
"3889","SydS_GOF_174_Cassia",143,"00:06:10.755","00:06:11.030","PNT: Cassia","it --","","","","","","",143
"3890","SydS_GOF_174_Cassia",144,"00:06:11.030","00:06:11.785","PNT: Cassia","oh n]o,","","","","","","",144
"3891","SydS_GOF_174_Cassia",145,"00:06:11.785","00:06:12.105","PNT: Cassia","we went --","","","","","","",145
"3892","SydS_GOF_174_Cassia",146,"00:06:12.105","00:06:14.005","PNT: Cassia","we started off at Asquith Public School,","Asquith Public School","","","","","started off at Asquith Public School; no Greek orthodox - didn't know what to do with her when scripture came because mostly Catholics and Church of England peers",146
"3893","SydS_GOF_174_Cassia",147,"00:06:14.005","00:06:15.210","PNT: Cassia","there was no,","","","","","","",147
"3894","SydS_GOF_174_Cassia",148,"00:06:15.210","00:06:17.175","PNT: Cassia","... um Greek Orthodox,","","","","","","",148
"3895","SydS_GOF_174_Cassia",149,"00:06:17.175","00:06:17.760","PNT: Cassia",".. th[ere at a]ll,","","","","","","",149
"616","SydS_GOF_174_Cassia",150,"00:06:17.305","00:06:17.695","INT: Erica","[yeah].","","","","","","",150
"3896","SydS_GOF_174_Cassia",151,"00:06:17.760","00:06:18.835","PNT: Cassia","so when scripture came,","","","","","","",151
"3897","SydS_GOF_174_Cassia",152,"00:06:18.835","00:06:20.070","PNT: Cassia","they didn't know what to do with [me].","","","","","","",152
"617","SydS_GOF_174_Cassia",153,"00:06:19.765","00:06:20.983","INT: Erica","[@] <@ oh [2no2] @>.","","","","","","",153
"3898","SydS_GOF_174_Cassia",154,"00:06:20.391","00:06:22.270","PNT: Cassia","[2so sometimes t2]hey'd put me with the Catholics,","","","","","","",154
"3899","SydS_GOF_174_Cassia",155,"00:06:22.270","00:06:24.510","PNT: Cassia","and sometimes they'd put me in with Church of England,","","","","","","",155
"3900","SydS_GOF_174_Cassia",156,"00:06:24.510","00:06:26.650","PNT: Cassia","... [they just didn't know what] to do with me.","","","","","","",156
"618","SydS_GOF_174_Cassia",157,"00:06:24.960","00:06:25.896","INT: Erica","[o=h].","","","","","","",157
"619","SydS_GOF_174_Cassia",158,"00:06:26.650","00:06:30.695","INT: Erica",".. actually I feel like I had a bit of a similar experience at .. primary school too,","","","","","","",158
"620","SydS_GOF_174_Cassia",159,"00:06:30.695","00:06:31.300","INT: Erica","where .. I was --","","","","","","",159
"621","SydS_GOF_174_Cassia",160,"00:06:31.300","00:06:31.670","INT: Erica","I w- --","","","","","","",160
"622","SydS_GOF_174_Cassia",161,"00:06:31.670","00:06:32.845","INT: Erica",".. probably said to the teacher,","","","","","","",161
"623","SydS_GOF_174_Cassia",162,"00:06:32.845","00:06:33.050","INT: Erica","I --","","","","","","",162
"624","SydS_GOF_174_Cassia",163,"00:06:33.050","00:06:34.225","INT: Erica",".. I'm Greek Orthodox,","","","","","","",163
"625","SydS_GOF_174_Cassia",164,"00:06:34.225","00:06:35.535","INT: Erica","and they were like well which one do you --","","","","","","",164
"626","SydS_GOF_174_Cassia",165,"00:06:35.535","00:06:36.930","INT: Erica",".. do you go to Catholic or,","","","","","","",165
"627","SydS_GOF_174_Cassia",166,"00:06:36.930","00:06:37.180","INT: Erica","like,","","","","","","",166
"3901","SydS_GOF_174_Cassia",167,"00:06:37.180","00:06:37.560","PNT: Cassia","[yeah they] --","","","","","","",167
"628","SydS_GOF_174_Cassia",168,"00:06:37.180","00:06:38.915","INT: Erica","[<X with X> when th]ey would split the class up?","","","","","","",168
"629","SydS_GOF_174_Cassia",169,"00:06:38.915","00:06:41.180","INT: Erica","... I'm like oh no <X I'm going X> with the Christian,","","","","","","",169
"630","SydS_GOF_174_Cassia",170,"00:06:41.180","00:06:41.680","INT: Erica","@yeah.","","","","","","",170
"631","SydS_GOF_174_Cassia",171,"00:06:41.680","00:06:42.020","INT: Erica","@","","","","","","",171
"3902","SydS_GOF_174_Cassia",172,"00:06:42.020","00:06:42.479","PNT: Cassia","ye[ah you th-] --","","","","","","",172
"632","SydS_GOF_174_Cassia",173,"00:06:42.160","00:06:43.220","INT: Erica","[it was ve]ry confusi[2ng,","","","","","","",173
"3903","SydS_GOF_174_Cassia",174,"00:06:43.145","00:06:43.635","PNT: Cassia","[2I --","","","","","","",174
"633","SydS_GOF_174_Cassia",175,"00:06:43.220","00:06:43.940","INT: Erica","as a child2]. ","","","","","","",175
"3904","SydS_GOF_174_Cassia",176,"00:06:43.635","00:06:43.940","PNT: Cassia","oh2],","","","","","","",176
"3905","SydS_GOF_174_Cassia",177,"00:06:43.940","00:06:45.983","PNT: Cassia","I didn't know what to .. um tell them.","","","","","","",177
"3906","SydS_GOF_174_Cassia",178,"00:06:45.983","00:06:46.355","PNT: Cassia",".. [I- --","","","","","","",178
"634","SydS_GOF_174_Cassia",179,"00:06:46.080","00:06:46.423","INT: Erica","[yeah].","","","","","","",179
"3907","SydS_GOF_174_Cassia",180,"00:06:46.355","00:06:47.975","PNT: Cassia","th]ey used to ask me what religion I was,","","","","","","",180
"3908","SydS_GOF_174_Cassia",181,"00:06:47.975","00:06:49.215","PNT: Cassia","and I'd say I'm Greek @Orthodox,","","","","","","",181
"3909","SydS_GOF_174_Cassia",182,"00:06:49.215","00:06:49.935","PNT: Cassia","and they'd just .. g- --","","","","","","",182
"635","SydS_GOF_174_Cassia",183,"00:06:49.935","00:06:50.615","INT: Erica","@@","","","","","","",183
"3910","SydS_GOF_174_Cassia",184,"00:06:50.615","00:06:51.725","PNT: Cassia",".. <@ what do we [2do with you2] @>.","","","","","","",184
"636","SydS_GOF_174_Cassia",185,"00:06:51.055","00:06:51.265","INT: Erica","[2@ --","","","","","","",185
"637","SydS_GOF_174_Cassia",186,"00:06:51.265","00:06:52.180","INT: Erica","it was2] <X severe X>, ","","","","","","",186
"638","SydS_GOF_174_Cassia",187,"00:06:52.180","00:06:53.036","INT: Erica","wh[at do we do with you].","","","","","","",187
"3911","SydS_GOF_174_Cassia",188,"00:06:52.225","00:06:52.765","PNT: Cassia","[yeah,","","","","","","",188
"3912","SydS_GOF_174_Cassia",189,"00:06:52.765","00:06:53.281","PNT: Cassia",".. ye]ah.","","","","","","",189
"639","SydS_GOF_174_Cassia",190,"00:06:53.281","00:06:53.940","INT: Erica",".. y[2eah2]. ","","","","","","",190
"3913","SydS_GOF_174_Cassia",191,"00:06:53.494","00:06:53.940","PNT: Cassia","[2so2].","","","","","","",191
"3914","SydS_GOF_174_Cassia",192,"00:06:53.940","00:06:54.555","PNT: Cassia",".. oh,","","","","","","",192
"640","SydS_GOF_174_Cassia",193,"00:06:54.555","00:06:55.110","INT: Erica",".. yeah.","","","","","","",193
"641","SydS_GOF_174_Cassia",194,"00:06:55.110","00:06:55.665","INT: Erica",".. anyway.","","","","","","",194
"642","SydS_GOF_174_Cassia",195,"00:06:55.665","00:06:55.985","INT: Erica",".. that --","","","","","","",195
"643","SydS_GOF_174_Cassia",196,"00:06:55.985","00:06:56.375","INT: Erica","but that --","","","","","","",196
"644","SydS_GOF_174_Cassia",197,"00:06:56.375","00:06:58.575","INT: Erica",".. it sounds like you had some really nice friends at,","","","","","","",197
"645","SydS_GOF_174_Cassia",198,"00:06:58.575","00:06:59.895","INT: Erica","... primary school tho[ugh].","","","","","","",198
"3915","SydS_GOF_174_Cassia",199,"00:06:59.668","00:07:01.295","PNT: Cassia","[I f]ound it hard actually,","","","","","","Didn't speak much English when she started school; difficult to socialise when starting school",199
"3916","SydS_GOF_174_Cassia",200,"00:07:01.295","00:07:04.835","PNT: Cassia","c[2ause I didn't s2]peak very ... much English when I started.","","","","","","",200
"646","SydS_GOF_174_Cassia",201,"00:07:01.375","00:07:01.670","INT: Erica","[2oh,","","","","","","",201
"647","SydS_GOF_174_Cassia",202,"00:07:01.670","00:07:02.020","INT: Erica","yeah2]?","","","","","","",202
"648","SydS_GOF_174_Cassia",203,"00:07:04.835","00:07:06.000","INT: Erica",".. real[ly].","","","","","","",203
"3917","SydS_GOF_174_Cassia",204,"00:07:05.360","00:07:07.265","PNT: Cassia","[yeah I found it h]ard to socialise.","","","","","","",204
"649","SydS_GOF_174_Cassia",205,"00:07:07.265","00:07:11.083","INT: Erica","... maybe because you were the oldest you learnt .. Greek straight away %,","","","","","","",205
"650","SydS_GOF_174_Cassia",206,"00:07:11.083","00:07:11.890","INT: Erica",".. growing up,","","","","","","",206
"651","SydS_GOF_174_Cassia",207,"00:07:11.890","00:07:12.320","INT: Erica","mayb[e,","","","","","","",207
"3918","SydS_GOF_174_Cassia",208,"00:07:12.160","00:07:12.505","PNT: Cassia","[oh,","","","","","","",208
"652","SydS_GOF_174_Cassia",209,"00:07:12.320","00:07:13.380","INT: Erica",".. Yiayia and Pappou] --","","","","","","",209
"3919","SydS_GOF_174_Cassia",210,"00:07:12.505","00:07:14.420","PNT: Cassia","it was very hard t]o sociali[2se2],","","","","","","",210
"653","SydS_GOF_174_Cassia",211,"00:07:14.395","00:07:14.878","INT: Erica","[2y2]e[3ah3].","","","","","","",211
"3920","SydS_GOF_174_Cassia",212,"00:07:14.729","00:07:15.970","PNT: Cassia","[3d-3] and <X d- X> different,","","","","","","",212
"3921","SydS_GOF_174_Cassia",213,"00:07:15.970","00:07:17.285","PNT: Cassia","it's different with Greeks,","","","","","","Aussies and Greeks socialise differently",213
"3922","SydS_GOF_174_Cassia",214,"00:07:17.285","00:07:18.590","PNT: Cassia","and then different with Aussies,","","","","","","",214
"3923","SydS_GOF_174_Cassia",215,"00:07:18.590","00:07:19.510","PNT: Cassia","it's .. different.","","","","","","",215
